cluster,level1_category,level2_category,level3_category,顏色,L1,L2,L3,品牌,品號,商品名稱
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,雪芙蘭,6878486,【雪芙蘭】淨肌礦物泥洗面乳《清爽控油》120g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,雪芙蘭,6878528,【雪芙蘭】淨肌礦物泥洗面乳《毛孔淨緻》120g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,品牌總覽(A-Z),DHC,6992800,【DHC】Q10美體柔膚皂120g x1入
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,DHC,6992868,【DHC】天然草本綠茶皂80g x1入
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,ziaja 齊葉雅,7074709,【ziaja 齊葉雅】松紅梅保濕平衡潔顏膠200ml
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,ebio 伊比歐,7076827,【ebio 伊比歐】茶樹精油抗油洗面乳200ml(一般&油性)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗臉用具,ViVa,7288681,【ViVa】深層卸妝洗顏綿(卸妝洗顏綿)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,MIROKAL 米羅蔻,7322542,【MIROKAL 米羅蔻】胺基酸深層潔顏霜-120ml(溫和深層潔淨)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,FRUDIA,7323500,【FRUDIA】有拭無孔 青葡萄去角質洗面乳145ml(洗面乳)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,伊聖詩,7351794,【伊聖詩】一日茶道TEAORY 美人皂200g(多款任選/桂花如雨/玉蘭樹下/茉莉花園)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,AUS LIFE 澳思萊,7375568,即期品【AUS LIFE 澳思萊】茶樹檸檬香桃潔顏洗卸慕斯150mlX3(適合油性 敏感性用)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,FRUDIA,7386810,【FRUDIA】鮮萃果釀 水潤舒緩洗面凝露120ml(保濕洗面凝露)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,SHILLS 舒兒絲,7415196,【SHILLS 舒兒絲】潤白濾鏡洗顏泥/洗面乳4入組(保濕/透亮/美白)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,GATSBY,7516180,【GATSBY】激涼潔淨洗面露130g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,WHOO 后,7536595,【WHOO 后】津率享時光駐顏洗顏蜜 40ML〈專櫃公司貨〉
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,曼秀雷敦,7545603,【曼秀雷敦】男士微米勁炭洗面乳100g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,曼秀雷敦,7545612,【曼秀雷敦】男士保濕活力洗面乳100g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,曼秀雷敦,7545613,【曼秀雷敦】男士緊緻彈力洗面乳100g
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,GAMARDE 珂瑪德,7588693,【GAMARDE 珂瑪德】澄淨潔面慕斯 160ml(歐盟有機認證 清爽控油慕斯)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,FACE OFF,7612340,【FACE OFF】野生洋甘菊洗卸泡泡慕斯-4入組(100ml/瓶)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,藍,綠色生活,美妝保養｜純淨成分,臉部保養,O’right 歐萊德,7640223,【O’right 歐萊德】茶樹淨化潔顏露160ml(洗面露、潔面露、日常洗臉使用)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,水平衡,7705205,【水平衡】元素碳黑淨化男性洗面乳《深層淨化》100g(黑曜石精萃)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,水平衡,7709490,【水平衡】元素碳黑淨化男性洗面乳《激淨毛孔》100g(黑曜石精萃)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,水平衡,7709491,【水平衡】元素碳黑淨化男性洗面乳《勁涼薄荷》100g(黑曜石精萃)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,水平衡,7709906,【水平衡】神奇蘇打毛穴洗面乳《黑頭對策》100g(雙重濃密泡)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,水平衡,7709907,【水平衡】神奇蘇打毛穴洗面乳《毛穴收斂》100g(雙重濃密泡)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,水平衡,7709908,【水平衡】神奇蘇打毛穴洗面乳《角質拋光》100g(雙重濃密泡)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,MEISHOKU 明色,7755075,【MEISHOKU 明色】美顏洗面乳(80g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,MEISHOKU 明色,7776370,【MEISHOKU 明色】Detclear煥膚酵素洗顏粉(75g)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Embryolisse 恩倍思,7801785,【Embryolisse 恩倍思 官方直營】淨顏舒緩泡沫洗面乳 200ml(官方直營/全新包裝)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,Melvita 蜜葳特,7809670,【Melvita 蜜葳特】花妍防護潔面凝膠(200ml)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,洗顏,荷麗美加,7831062,【荷麗美加】UPA純淨水植萃控油潔顏泡沫150ml(油痘肌 御用淨膚)
FMCG,Beauty,Open Shelf Facial Care,OS Face Wash,黃,個人清潔,洗臉卸妝,本月主打◆精選活動,AKUMA,7912896,【AKUMA】瞄me水漾奇蹟胺基酸潔面露130mlx2入
