site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Home & Living,14707794,SKB 文明,【SKB 文明】收納筆盒 237*118*78mm,SKB,1135929,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,SKB 文明,品牌欄,skb文明,skb,文明,1135929,skb,,Home & Living,auto,3,True
momo,Home & Living,14707795,SKB 文明,【SKB 文明】舒壓筆記本 無尾熊,SKB,1135929,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,SKB 文明,品牌欄,skb文明,skb,文明,1135929,skb,,Home & Living,auto,3,True
momo,Home & Living,14723096,g/g+ 居居加,【g/g+ 居居加】旅行保潔滅菌枕頭套組-2入/包(台灣製造/拋棄式/一次性/戶外旅遊出差用/旅行必備),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,g/g+ 居居加,品牌欄,gg居居加,gg,居居加,-1,,,,,2,False
momo,Home & Living,14744454,333 家居鞋館,【333 家居鞋館】官方直營 Fun Plus+ 流行舒適室外拖鞋(4色),No brand,0,80,1.7 品牌欄內容不是品牌,2026-09-21 14:57:20,333 家居鞋館,品牌欄,333家居鞋館,333,家居鞋館,0,nobrand,,Home & Living,,3,False
momo,Home & Living,14779532,DRX 達特世,【DRX 達特世】醫用3D Ultra口罩-小綠款(兒童/幼幼30入),DRX,4556462,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,DRX 達特世,品牌欄,drx達特世,drx,達特世,4556462,drx,,Beauty,,3,True
momo,Home & Living,14785187,g/g+ 居居加,【g/g+ 居居加】旅行保潔滅菌單人床套組-3件式 超值3袋組(台灣製造/拋棄式/戶外旅遊出差用/旅宿必備),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,g/g+ 居居加,品牌欄,gg居居加,gg,居居加,-1,,,,,2,False
momo,Home & Living,14785188,g/g+ 居居加,【g/g+ 居居加】旅行保潔滅菌雙人床套組-4件式 超值3袋組(台灣製造/拋棄式/戶外旅遊出差用/旅宿必備),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,g/g+ 居居加,品牌欄,gg居居加,gg,居居加,-1,,,,,2,False
momo,Home & Living,14785252,R.H 獵戰,【R.H 獵戰】高溫高壓蒸汽清洗機 廚房油煙機清潔(110v清潔器 空調除臭殺菌消毒清洗機),RAZOR HUNTER 獵戰,5130625,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,R.H 獵戰,品牌欄,rh獵戰,rh,獵戰,5130625,razorhunter,獵戰,Home & Living,,2,False
momo,Home & Living,14789452,CSD 中衛,【CSD 中衛】IKIGAI 牙粉漱口水組(牙粉35gX1+漱口水450mlX1),csd 中衛,1098353,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,CSD 中衛,品牌欄,csd中衛,csd,中衛,1098353,csd,中衛,Home & Living,,3,False
momo,Home & Living,14795872,Mr.U 優先生,【Mr.U 優先生】太陽能夾燈(免打孔/人體感應 戶外防水壁燈 庭院燈 露營燈 陽台燈 防盜燈 路燈 夾式照明),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,Mr.U 優先生,品牌欄,mru優先生,mru,優先生,-1,,,,,3,False
momo,Home & Living,14799689,Mr.U 優先生,【Mr.U 優先生】充電式夾子射燈 擺攤夾燈(展示燈 夜市夾燈 照明燈 閱讀燈 可夾式 檯燈 夜燈 露營燈),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,Mr.U 優先生,品牌欄,mru優先生,mru,優先生,-1,,,,,3,False
momo,Home & Living,14800048,Mr.U 優先生,【Mr.U 優先生】真空壓縮一次性旅行組(毛巾/浴巾/床單/枕套 獨立包裝 拋棄式 壓縮毛巾 出國旅遊 飯店隔髒),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,Mr.U 優先生,品牌欄,mru優先生,mru,優先生,-1,,,,,3,False
momo,Home & Living,14800642,ASD 愛仕達,【ASD 愛仕達】momo獨家28cm雙鍋組(28cm炒鍋+26cm平底鍋),ASD 愛仕達,1090775,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,ASD 愛仕達,品牌欄,asd愛仕達,asd,愛仕達,1090775,asd,愛仕達,Home & Living,,3,False
momo,Home & Living,14800740,ASD 愛仕達,【ASD 愛仕達】深平底鍋雙鍋組(30+26cm平底鍋),ASD 愛仕達,1090775,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,ASD 愛仕達,品牌欄,asd愛仕達,asd,愛仕達,1090775,asd,愛仕達,Home & Living,,3,False
momo,Home & Living,14832456,,【日本KAO花王】馬桶免刷具5分放置高吸附去污消臭泡沫清潔劑補充包660ml/袋(除黑垢洗淨液劑泡芳香潔廁噴劑),No brand,0,88,2.1 配件/相容品,2026-09-21 14:57:20,KAO花王,標題【】,kao花王,kao,花王,0,nobrand,,Home & Living,,3,False
momo,Home & Living,14832517,Kao 花王,【Kao 花王】日本 珂珂透 家庭號濃縮洗碗精 4500ml(平輸商品),Kao,1801584,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,Kao 花王,品牌欄,kao花王,kao,花王,1801584,kao,,Home & Living,curated,3,False
momo,Home & Living,14872237,ACE 英士牌,【ACE 英士牌】金屬色按壓式毛筆,ACE,1120063,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,ACE 英士牌,品牌欄,ace英士牌,ace,英士牌,1120063,ace,,Food & Beverages,,3,True
momo,Home & Living,14880032,ACE 英士牌,【ACE 英士牌】按壓式彩繪陶瓷毛筆 8色組,ACE,1120063,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:57:20,ACE 英士牌,品牌欄,ace英士牌,ace,英士牌,1120063,ace,,Food & Beverages,,3,True
momo,Home & Living,14908253,Kao 花王,【Kao 花王】EMAL 護色防縮洗衣精補充包360g任選1款(柔和花香/清新綠香-國際航空版),Kao,1801584,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,Kao 花王,品牌欄,kao花王,kao,花王,1801584,kao,,Home & Living,curated,3,False
momo,Home & Living,14917531,CSD 中衛,【CSD 中衛】醫療口罩 成人立體 3D Purely Nude-6款裸度可選(30入/盒),csd 中衛,1098353,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,CSD 中衛,品牌欄,csd中衛,csd,中衛,1098353,csd,中衛,Home & Living,,3,False
momo,Home & Living,14922442,CSD 中衛,【CSD 中衛】醫療口罩 200入 (200入/盒 、50入 x 4盒),csd 中衛,1098353,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,CSD 中衛,品牌欄,csd中衛,csd,中衛,1098353,csd,中衛,Home & Living,,3,False
momo,Home & Living,14922764,CSD 中衛,【CSD 中衛】醫療口罩 成人立體 3D Purely Nude-6款裸度可選-3盒組(30入/盒),csd 中衛,1098353,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,CSD 中衛,品牌欄,csd中衛,csd,中衛,1098353,csd,中衛,Home & Living,,3,False
momo,Home & Living,14924785,g/g+ 居居加,【g/g+ 居居加】台灣製旅行厚磅超吸水浴巾-超值3袋組(拋棄式/免洗/速乾/戶外/出差/運動/美容),建議品牌庫新增品牌,,85,1.6 品牌欄有品牌，品牌庫沒有,2026-09-21 14:57:20,g/g+ 居居加,品牌欄,gg居居加,gg,居居加,-1,,,,,2,False
momo,Home & Living,14929444,Kao 花王,【Kao 花王】日本KAO花王-浴室免刷洗強力除霉鹼性泡沫噴霧清潔劑360ml/瓶-溫和花香(修繕裝潢五金修補噴劑,Kao,1801584,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,Kao 花王,品牌欄,kao花王,kao,花王,1801584,kao,,Home & Living,curated,3,False
momo,Home & Living,14929488,R.H 獵戰,【R.H 獵戰】洗手臺置物架 鏡前水龍頭洗漱臺(洗臉池盆壁掛架 免打孔 浴室衛生間收納架lmx),RAZOR HUNTER 獵戰,5130625,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,R.H 獵戰,品牌欄,rh獵戰,rh,獵戰,5130625,razorhunter,獵戰,Home & Living,,2,False
momo,Home & Living,14930144,hoi! 好好生活,【hoi! 好好生活】hoi!抗UV無痕衣架30入 基礎款-白,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14931067,Kao 花王,【Kao 花王】日本KAO花王-EX Power彩色衣物護色消臭去漬氧系濃縮漂白劑560ml/瓶(收納行李箱包鞋材防水清潔),Kao,1801584,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,Kao 花王,品牌欄,kao花王,kao,花王,1801584,kao,,Home & Living,curated,3,False
momo,Home & Living,14931643,JUN 郡昱,【JUN 郡昱】成人S/青少年3D立體醫療口罩30入/盒(台灣製造 3D口罩 立體口罩),jun,3510279,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,JUN 郡昱,品牌欄,jun郡昱,jun,郡昱,3510279,jun,,Home & Living,auto,3,True
momo,Home & Living,14933666,Kao 花王,【Kao 花王】日本KAO花王-浴室免刷洗強力除霉鹼性泡沫清潔劑補充瓶360ml/瓶-溫和花香(修繕園藝除草,Kao,1801584,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,Kao 花王,品牌欄,kao花王,kao,花王,1801584,kao,,Home & Living,curated,3,False
momo,Home & Living,14936428,Kao 花王,【Kao 花王】日本KAO花王-珂珂透CUCUTE洗碗機專用檸檬酸洗碗粉補充包500g/袋(餐廚用品碗盤餐具去油除垢,Kao,1801584,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,Kao 花王,品牌欄,kao花王,kao,花王,1801584,kao,,Home & Living,curated,3,False
momo,Home & Living,14953133,hoi! 好好生活,【hoi! 好好生活】懶角落衣櫃分隔抽屜架-加寬高款,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14953134,hoi! 好好生活,【hoi! 好好生活】懶角落衣櫃分隔抽屜架-加寬矮款,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
momo,Home & Living,14953136,hoi! 好好生活,【hoi! 好好生活】懶角落一次性奈米海綿擦-50片,hoi 好好生活,1163076,98,1.3 品牌欄完全相符,2026-09-21 14:57:20,hoi! 好好生活,品牌欄,hoi好好生活,hoi,好好生活,1163076,hoi,好好生活,Home & Living,,3,False
