site,level1,item_id,raw_brand,title,matched_name,matched_id,confidence,path,tagged_at,source_name,source_field,source_norm,latin,chinese,matched_id_num,pool_latin,pool_chinese,pool_category,alias_source,latin_length,risk
momo,Beauty,10793385,HH 草本新淨界,【HH 草本新淨界】HH 女性私密濕式衛生紙 抗菌配方 10抽x5包(女性濕式衛生紙 私密潔淨 溫和不刺激),H&H,1120001,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,HH 草本新淨界,品牌欄,hh草本新淨界,hh,草本新淨界,1120001,hh,,Home & Living,auto,2,True
momo,Beauty,10808505,TS6 護一生,【TS6 護一生】私密潔淨凝露300g+潔淨慕斯加護型100g(日常清潔與特別照護),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,10867889,JS 婕洛妮絲,【JS 婕洛妮絲】黃金蠟菊淨白潔顏露100ml（卸妝淨膚）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10958018,KUM 熊野,【KUM 熊野】沙龍級洗髮精1000ml(多款任選),KUM,1094859,90,1.3 品牌欄完全相符,2026-09-21 14:58:28,KUM 熊野,品牌欄,kum熊野,kum,熊野,1094859,kum,,Home & Living,auto,3,True
momo,Beauty,10962246,JS 婕洛妮絲,【JS 婕洛妮絲】黃金蠟菊全能乳霜60ml（澎彈抗老）,JS,5712923,79,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,JS 婕洛妮絲,品牌欄,js婕洛妮絲,js,婕洛妮絲,5712923,js,,Home & Living,,2,True
momo,Beauty,10966766,TS6 護一生,【TS6 護一生】私密防護(私舒衣物手洗精300g+私密防護噴霧40g),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,11105383,TS6 護一生,【TS6 護一生】男士極戰私密噴霧25g(男生私密保養 私密噴霧 精力充沛),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,11119722,CS 嚴選,【CS 嚴選】黑壇木傳統工藝無靜電厚實黑壇木梳子 髮梳 按摩梳 齒梳 月梳(男女適用 手柄梳+細齒月梳各一個),C&S,2838752,84,1.3 品牌欄完全相符,2026-09-21 14:58:28,CS 嚴選,品牌欄,cs嚴選,cs,嚴選,2838752,cs,,Home & Living,,2,True
momo,Beauty,11159716,TS6 護一生,【TS6 護一生】私密慕斯組-潔淨慕斯180gx2/30gx1+加護型慕斯100g(私密清潔),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,11159717,TS6 護一生,【TS6 護一生】淨白植感慕斯180gx1+蜜桃煥白凝膠45gx2贈超美白香氛誘霜30g(私密清潔美白獨家組),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
momo,Beauty,11175204,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘匠之技不銹鋼高級指甲剪S(G-1205),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,11175256,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不鏽鋼平式細口毛髮截剪夾(MI-246),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,11175257,GB 綠鐘,【GB 綠鐘】日本綠鐘不銹鋼止滑眉毛修容剪(MI-247),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,11176096,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘匠之技不銹鋼高級指甲剪S(G-1204),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,11176097,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼止滑眉毛修容剪(MI-248),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,11176098,GB 綠鐘,【GB 綠鐘】GREEN BELL日本綠鐘不銹鋼止滑眉毛修容剪(MI-249),gb,4405709,85,1.4 品牌欄相符（品牌庫有重複，取業績最高）,2026-09-21 14:58:28,GB 綠鐘,品牌欄,gb綠鐘,gb,綠鐘,4405709,gb,,Mother & Baby,auto,2,True
momo,Beauty,11231559,TS6 護一生,【TS6 護一生】沁涼潔淨凝露250gx2+男士極淨私密沐浴露(舒涼)330gx1(男女私密清潔 涼感),TS6,1136012,98,1.3 品牌欄完全相符,2026-09-21 14:58:28,TS6 護一生,品牌欄,ts6護一生,ts6,護一生,1136012,ts6,,Beauty,auto,3,True
